                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0732,                  1.533,                0.99646,                0.72059,                0.21467,                0.26548,                0.17457,                0.93737,                0.81322,                 0.9167,              0.0033292,              0.0033292,              0.0033292
                      2,                0.99386,                 0.9387,                0.96638,                0.71334,                 0.2892,                0.31603,                0.20754,                0.90331,                0.72506,                0.91776,              0.0066312,              0.0066312,              0.0066312
                      3,                0.99833,                0.89175,                0.96461,                 0.6279,                0.28734,                 0.3353,                0.21921,                0.90385,                0.69711,                0.92123,              0.0099017,              0.0099017,              0.0099017
                      4,                0.97165,                0.81635,                0.94809,                0.75425,                0.31989,                0.35626,                 0.2359,                0.84811,                0.64334,                  0.893,              0.0098586,              0.0098586,              0.0098586
                      5,                0.92504,                0.72528,                0.93238,                0.65289,                0.33393,                0.37658,                0.26211,                0.82655,                0.60793,                0.88687,              0.0098586,              0.0098586,              0.0098586
                      6,                0.89363,                 0.6694,                0.92232,                0.69786,                0.35957,                0.39087,                0.27199,                0.79709,                0.60151,                0.88128,              0.0098114,              0.0098114,              0.0098114
                      7,                0.86468,                0.63004,                0.91382,                0.65136,                0.38161,                0.41368,                0.29308,                0.78209,                0.55177,                0.87659,              0.0097643,              0.0097643,              0.0097643
                      8,                0.84168,                0.60235,                0.90799,                0.84205,                 0.3599,                 0.4269,                0.29667,                0.77484,                0.53906,                0.87159,              0.0097171,              0.0097171,              0.0097171
                      9,                0.83014,                0.58387,                0.90359,                0.65115,                0.41776,                0.44745,                  0.313,                0.74535,                0.50993,                 0.8629,                0.00967,                0.00967,                0.00967
                     10,                0.81433,                0.56524,                0.89609,                0.74935,                0.37505,                0.45494,                0.32215,                0.73682,                0.50936,                0.86094,              0.0096229,              0.0096229,              0.0096229
                     11,                0.80745,                0.55582,                0.89405,                0.55364,                0.43036,                 0.4784,                0.33202,                0.72799,                0.48877,                0.86084,              0.0095757,              0.0095757,              0.0095757
                     12,                 0.7977,                0.54522,                0.89166,                0.71016,                0.42795,                0.47544,                 0.3355,                0.72271,                0.48704,                0.85546,              0.0095286,              0.0095286,              0.0095286
                     13,                0.78634,                0.53554,                0.88844,                0.65546,                0.42929,                0.47159,                0.33593,                0.71111,                0.48084,                0.85431,              0.0094814,              0.0094814,              0.0094814
                     14,                0.78037,                0.52894,                 0.8862,                0.67498,                0.47351,                0.49129,                0.33609,                0.70848,                0.47284,                0.85159,              0.0094343,              0.0094343,              0.0094343
                     15,                0.77282,                0.51955,                0.88373,                0.76497,                0.43045,                0.50992,                0.37537,                0.70096,                0.46757,                0.85171,              0.0093871,              0.0093871,              0.0093871
                     16,                0.76423,                0.51244,                0.88099,                0.60597,                0.48656,                0.49755,                0.36196,                0.69769,                0.46396,                0.84939,                0.00934,                0.00934,                0.00934
                     17,                0.75888,                 0.5094,                 0.8803,                0.78038,                0.46256,                0.51463,                0.37105,                0.69425,                  0.458,                0.84765,              0.0092929,              0.0092929,              0.0092929
                     18,                0.75324,                0.50068,                0.87996,                0.87025,                0.43661,                 0.5114,                0.37046,                0.68451,                0.44967,                0.84801,              0.0092457,              0.0092457,              0.0092457
                     19,                0.74858,                0.49672,                0.87682,                0.71791,                0.47723,                0.52917,                0.40014,                0.68122,                0.44556,                0.84539,              0.0091986,              0.0091986,              0.0091986
                     20,                0.74279,                0.49191,                0.87586,                0.84498,                0.47906,                0.55871,                0.40924,                0.67493,                0.43967,                0.84437,              0.0091514,              0.0091514,              0.0091514
                     21,                0.73782,                0.48823,                0.87355,                0.67778,                0.50832,                0.53932,                0.40047,                0.67024,                0.43882,                0.84301,              0.0091043,              0.0091043,              0.0091043
                     22,                0.73318,                0.48261,                0.87123,                0.78218,                0.47513,                0.53934,                 0.3993,                0.66516,                0.43253,                0.83984,              0.0090571,              0.0090571,              0.0090571
                     23,                0.73119,                0.47944,                0.87175,                 0.6252,                0.45142,                0.52615,                0.38635,                0.66072,                0.43027,                0.84053,                0.00901,                0.00901,                0.00901
                     24,                0.72494,                0.47489,                0.86932,                 0.7476,                0.50152,                0.57101,                0.42572,                0.65383,                0.42446,                0.83908,              0.0089629,              0.0089629,              0.0089629
                     25,                0.72457,                 0.4736,                 0.8694,                0.82903,                0.51766,                0.58059,                0.43287,                0.65557,                 0.4216,                0.83996,              0.0089157,              0.0089157,              0.0089157
                     26,                0.71715,                 0.4689,                 0.8679,                0.65276,                0.54863,                0.56255,                0.41007,                0.65106,                0.42154,                0.83655,              0.0088686,              0.0088686,              0.0088686
                     27,                0.71763,                0.46788,                0.86682,                0.80386,                0.48262,                0.54972,                0.40883,                0.64895,                0.41511,                0.83665,              0.0088214,              0.0088214,              0.0088214
                     28,                0.71493,                0.46507,                0.86626,                0.72687,                0.52481,                0.57036,                0.41914,                0.64853,                0.41465,                0.83765,              0.0087743,              0.0087743,              0.0087743
                     29,                0.70965,                0.46021,                0.86468,                0.84722,                0.49921,                0.57896,                 0.4362,                0.64126,                0.41071,                0.83564,              0.0087271,              0.0087271,              0.0087271
                     30,                 0.7061,                0.45713,                0.86337,                 0.8042,                0.50344,                0.58207,                0.43136,                0.63683,                0.40473,                0.83329,                0.00868,                0.00868,                0.00868
                     31,                0.70635,                0.45615,                0.86467,                0.71501,                0.52411,                0.58376,                0.43352,                0.63204,                0.40452,                0.83253,              0.0086329,              0.0086329,              0.0086329
                     32,                0.70261,                0.45269,                0.86255,                0.80754,                0.50927,                0.59091,                0.43939,                 0.6325,                0.40289,                0.83397,              0.0085857,              0.0085857,              0.0085857
                     33,                 0.7042,                0.45516,                0.86282,                0.76662,                0.51534,                0.57604,                0.43256,                0.62762,                0.39783,                0.83268,              0.0085386,              0.0085386,              0.0085386
                     34,                0.69956,                 0.4514,                0.86136,                   0.73,                0.52363,                0.59927,                0.44992,                0.62782,                0.39793,                0.83342,              0.0084914,              0.0084914,              0.0084914
                     35,                0.69804,                 0.4471,                0.86123,                0.68126,                0.54182,                 0.5979,                0.44577,                0.62649,                 0.3973,                0.83097,              0.0084443,              0.0084443,              0.0084443
                     36,                0.69626,                 0.4468,                0.85936,                0.80763,                0.52193,                 0.5971,                0.44607,                0.62248,                0.39689,                0.82984,              0.0083971,              0.0083971,              0.0083971
                     37,                 0.6916,                0.44425,                 0.8599,                0.78139,                0.54491,                0.60183,                0.45319,                0.62189,                0.39222,                0.83079,                0.00835,                0.00835,                0.00835
                     38,                0.69156,                 0.4448,                0.85877,                0.67093,                 0.5609,                0.58296,                0.43412,                0.61997,                0.39234,                0.83163,              0.0083029,              0.0083029,              0.0083029
                     39,                0.69063,                0.44131,                 0.8595,                0.84346,                0.52688,                0.60199,                0.45141,                0.61874,                0.39071,                0.83017,              0.0082557,              0.0082557,              0.0082557
                     40,                0.68259,                0.43713,                0.85625,                0.76005,                0.53882,                0.61159,                0.45004,                  0.616,                0.38846,                 0.8297,              0.0082086,              0.0082086,              0.0082086
                     41,                 0.6846,                0.43844,                 0.8572,                0.86454,                0.52167,                0.60443,                0.45986,                0.61303,                0.38695,                0.82896,              0.0081614,              0.0081614,              0.0081614
                     42,                0.68244,                 0.4369,                0.85575,                0.67171,                0.56379,                0.59969,                0.44739,                0.61117,                0.38404,                0.82903,              0.0081143,              0.0081143,              0.0081143
                     43,                0.67709,                0.43224,                 0.8541,                0.79401,                0.53514,                0.61362,                0.46452,                0.60889,                0.38291,                 0.8265,              0.0080671,              0.0080671,              0.0080671
                     44,                0.68036,                0.43366,                 0.8553,                0.71057,                0.56838,                 0.6195,                0.46693,                0.61028,                0.38287,                0.82808,                0.00802,                0.00802,                0.00802
                     45,                0.67965,                0.43116,                0.85615,                0.77455,                0.54044,                  0.618,                0.46808,                0.60781,                0.38051,                0.82805,              0.0079729,              0.0079729,              0.0079729
                     46,                0.67266,                0.42849,                0.85437,                0.85134,                0.54654,                0.62209,                0.46845,                0.60515,                  0.379,                0.82782,              0.0079257,              0.0079257,              0.0079257
                     47,                0.67423,                0.42916,                  0.855,                0.83183,                0.55589,                0.61393,                0.46523,                0.60535,                0.37849,                0.82763,              0.0078786,              0.0078786,              0.0078786
                     48,                0.67158,                 0.4263,                 0.8542,                0.85363,                0.54398,                0.61336,                  0.468,                0.60315,                0.37594,                0.82624,              0.0078314,              0.0078314,              0.0078314
                     49,                0.67074,                0.42691,                0.85264,                0.81066,                 0.5364,                0.61796,                0.47235,                0.60382,                0.37703,                0.82617,              0.0077843,              0.0077843,              0.0077843
