                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1787,                 2.8843,                0.95708,                0.85993,                0.34528,                0.42761,                 0.2899,                 1.2671,                 1.1965,                 1.0128,               0.003323,               0.003323,               0.003323
                      2,                 1.1908,                 1.3476,                0.96678,                 0.5813,                0.33172,                0.40572,                0.26099,                 1.4094,                 1.3015,                 1.0257,              0.0066124,              0.0066124,              0.0066124
                      3,                 1.2965,                 1.2344,                0.99045,                0.57309,                0.33579,                0.34235,                0.21578,                 1.4562,                 1.4689,                 1.0647,              0.0098578,              0.0098578,              0.0098578
                      4,                 1.3582,                 1.2651,                 1.0159,                0.39202,                 0.3774,                0.37161,                0.23694,                 1.4205,                 1.5285,                 1.0515,               0.009802,               0.009802,               0.009802
                      5,                 1.3731,                 1.2554,                 1.0236,                0.36216,                0.35459,                0.31473,                0.19386,                 1.4622,                 1.4803,                 1.0601,               0.009802,               0.009802,               0.009802
                      6,                 1.3962,                 1.2578,                 1.0368,                0.71031,                0.33054,                0.39459,                0.24009,                 1.4662,                 1.5523,                 1.0852,               0.009736,               0.009736,               0.009736
                      7,                 1.3496,                 1.2008,                 1.0134,                0.58584,                0.37486,                0.39933,                0.24556,                 1.4308,                  1.422,                 1.0563,                0.00967,                0.00967,                0.00967
                      8,                  1.335,                 1.1679,                 1.0187,                0.45698,                 0.4678,                0.42744,                0.26495,                 1.4023,                  1.468,                 1.0572,               0.009604,               0.009604,               0.009604
                      9,                 1.3139,                  1.133,                 1.0107,                0.73373,                 0.3635,                0.43968,                0.28148,                 1.3898,                 1.3829,                 1.0647,               0.009538,               0.009538,               0.009538
                     10,                 1.3016,                 1.1246,                 1.0038,                0.57559,                0.39695,                0.39511,                0.24545,                  1.355,                 1.3929,                 1.0408,               0.009472,               0.009472,               0.009472
                     11,                 1.2951,                 1.1017,                0.99598,                 0.6194,                0.34062,                0.45246,                0.27411,                  1.391,                 1.3422,                 1.0692,               0.009406,               0.009406,               0.009406
                     12,                 1.2606,                  1.055,                0.98816,                0.59219,                0.34821,                0.44621,                 0.2766,                 1.3567,                 1.3479,                  1.063,                0.00934,                0.00934,                0.00934
                     13,                 1.2535,                 1.0515,                 0.9886,                0.49028,                0.38254,                0.41881,                0.25685,                 1.3499,                 1.2754,                 1.0388,               0.009274,               0.009274,               0.009274
