                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5019,                 3.5582,                0.87914,                0.35693,                0.26911,                0.07329,                0.04255,                 1.4456,                 3.7747,                0.84098,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.3637,                 1.9101,                0.85307,                0.38607,                0.37147,                0.10998,                0.07171,                 1.1747,                   3.52,                0.82749,              0.0066422,              0.0066422,              0.0066422
                      3,                 1.3474,                 1.3787,                0.85217,                0.45332,                0.35128,                0.10416,                0.06473,                 1.1604,                 3.9094,                0.82899,              0.0099315,              0.0099315,              0.0099315
                      4,                 1.2722,                 1.1527,                0.84626,                0.37258,                0.35772,                0.11235,                0.07413,                 1.0983,                 4.1966,                0.82009,               0.009901,               0.009901,               0.009901
                      5,                 1.1608,                 1.0137,                0.83345,                0.38803,                0.42058,                0.11864,                0.07727,                 1.0122,                 3.4068,                0.81278,               0.009901,               0.009901,               0.009901
                      6,                 1.0917,                0.94399,                0.82536,                0.38821,                0.45708,                0.12943,                0.08729,                0.96292,                 3.5119,                0.80524,               0.009868,               0.009868,               0.009868
                      7,                 1.0564,                 0.9115,                0.82131,                0.39154,                0.46432,                0.14394,                0.09515,                0.92288,                 3.6332,                0.80221,               0.009835,               0.009835,               0.009835
                      8,                 1.0151,                0.87723,                0.81463,                0.31994,                0.54693,                0.15146,                0.10389,                0.90025,                 3.8393,                0.79706,               0.009802,               0.009802,               0.009802
                      9,                0.98557,                0.83689,                0.81343,                0.31514,                0.54428,                0.14827,                0.10425,                0.87771,                 3.7428,                0.79581,               0.009769,               0.009769,               0.009769
                     10,                0.97014,                0.82971,                0.81088,                0.18303,                0.59056,                0.15712,                0.10843,                 0.8451,                  3.758,                0.79479,               0.009736,               0.009736,               0.009736
                     11,                0.94475,                0.80305,                0.80792,                0.15775,                0.64072,                0.16139,                0.11361,                0.81964,                 3.6882,                0.79102,               0.009703,               0.009703,               0.009703
                     12,                0.93241,                0.79485,                0.80552,                0.18391,                0.63289,                0.16751,                0.11707,                0.81435,                 3.5898,                0.79094,                0.00967,                0.00967,                0.00967
                     13,                0.91905,                0.78336,                0.80458,                0.17721,                0.61111,                0.16934,                0.11792,                0.80034,                 3.6154,                0.78853,               0.009637,               0.009637,               0.009637
                     14,                0.90342,                 0.7697,                0.80298,                0.17078,                0.62566,                0.17461,                0.12406,                0.78599,                 3.5066,                0.79072,               0.009604,               0.009604,               0.009604
                     15,                0.89149,                0.75976,                0.80423,                0.20771,                0.60277,                0.18448,                0.13351,                0.77996,                 3.6311,                0.78852,               0.009571,               0.009571,               0.009571
                     16,                0.87804,                0.75192,                0.80072,                0.18714,                0.66733,                0.17955,                0.12919,                0.75496,                 3.6145,                0.78531,               0.009538,               0.009538,               0.009538
                     17,                0.87469,                0.74933,                0.80045,                0.18921,                0.69332,                0.18088,                0.12856,                0.73743,                  3.544,                0.78519,               0.009505,               0.009505,               0.009505
                     18,                0.86722,                0.74145,                0.79916,                0.23409,                0.60611,                 0.1972,                0.13837,                0.73058,                 3.6675,                0.78347,               0.009472,               0.009472,               0.009472
                     19,                0.86375,                0.73653,                0.79844,                 0.1815,                0.66722,                0.18292,                0.13453,                0.72479,                 3.6218,                0.78272,               0.009439,               0.009439,               0.009439
                     20,                 0.8551,                0.73721,                 0.7984,                0.17198,                0.71511,                0.18206,                0.13222,                0.71456,                   3.71,                 0.7824,               0.009406,               0.009406,               0.009406
                     21,                0.84042,                0.73168,                0.79709,                0.20049,                0.66686,                0.19342,                0.13968,                 0.7144,                 3.5579,                0.78235,               0.009373,               0.009373,               0.009373
                     22,                0.83764,                0.71847,                0.79695,                0.19318,                0.67849,                0.19912,                0.14508,                0.70017,                 3.7181,                0.78044,                0.00934,                0.00934,                0.00934
                     23,                0.83325,                0.71729,                0.79543,                0.20009,                0.62226,                0.20179,                0.15029,                 0.6863,                 3.6017,                0.78091,               0.009307,               0.009307,               0.009307
                     24,                0.82569,                0.70928,                0.79397,                0.20608,                0.62301,                0.19992,                0.14632,                0.68755,                  3.747,                0.77912,               0.009274,               0.009274,               0.009274
                     25,                0.81892,                0.70976,                0.79563,                0.21675,                0.63545,                0.20914,                0.15401,                0.67762,                 3.6541,                0.77882,               0.009241,               0.009241,               0.009241
                     26,                0.81961,                0.70988,                0.79506,                0.20604,                0.64319,                0.20016,                0.14786,                0.67354,                 3.6738,                0.77825,               0.009208,               0.009208,               0.009208
                     27,                0.81142,                0.70091,                0.79522,                0.21458,                0.66919,                0.19899,                0.14938,                0.66953,                 3.7441,                0.77829,               0.009175,               0.009175,               0.009175
                     28,                0.80709,                0.69534,                 0.7941,                0.21386,                0.63324,                0.20108,                0.15021,                0.67141,                 3.7774,                0.77733,               0.009142,               0.009142,               0.009142
                     29,                0.80437,                0.69757,                0.79248,                0.19855,                0.69247,                0.20407,                0.15352,                0.66236,                 3.7333,                0.77751,               0.009109,               0.009109,               0.009109
                     30,                0.80081,                0.69259,                0.79394,                0.22083,                0.67926,                0.21124,                0.15635,                0.66179,                 3.7701,                0.77715,               0.009076,               0.009076,               0.009076
